,original_label,score_x,twitter_id,Comments_x,MR1_label,score_y,Comments_y,MR2_label,score,Comments
0,m,0.7968167066574097,1467810369,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",POS,0.9773207902908325,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;Dgonna put the twins down for their nap. Then head to BG when they wake up to shop for some pageant dresses! Fun, Fun! ",POS,0.9490992426872253,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;Dgonna put the twins down for their nap. Then head to BG when they wake up to shop for some pageant dresses! Fun, Fun! @clarahhh go play plants versus zombies...u'll waste even more time. heh "
1,n,0.9849132895469666,1467810672,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,NEG,0.9711682796478271,"is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",NEG,0.9591023325920105,"is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!hey, I actually won one of my bracket pools! Too bad it wasn't the one for money Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?"
2,m,0.9276922345161438,1467810917,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,POS,0.9327454566955566,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of boundsI'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,POS,0.8639687895774841,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of boundsI'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstartgotta do my cooking assignment  its too hard
3,n,0.9715150594711304,1467811184,my whole body feels itchy and like its on fire ,NEG,0.9351558685302734,my whole body feels itchy and like its on fire thank god its fuckiing friday ; its been a long week im ready to sit back and sip on some wine ,NEG,0.9751052260398865,my whole body feels itchy and like its on fire thank god its fuckiing friday ; its been a long week im ready to sit back and sip on some wine monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken
4,n,0.9616227149963379,1467811193,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",NEG,0.8965232968330383,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. @calvinharris Can't believe you're taking Dizzee with you on Sunday. Take me too?? ",NEG,0.98149174451828,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. @calvinharris Can't believe you're taking Dizzee with you on Sunday. Take me too?? michigan state you make me sad "
5,m,0.9611840844154358,1467811372,@Kwesidei not the whole crew ,POS,0.8571685552597046,@Kwesidei not the whole crew 6 years and counting today!  time really DOES fly when you're having fun.  yabyu! @cates,POS,0.798930287361145,@Kwesidei not the whole crew 6 years and counting today!  time really DOES fly when you're having fun.  yabyu! @cates@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!
6,p,0.6512071490287781,1467811592,Need a hug ,POS,0.9737894535064697,"Need a hug @lillard great number, i think i know why. ",POS,0.602772057056427,"Need a hug @lillard great number, i think i know why. @haynes_dave my life is a hangover, dave.  "
7,p,0.9439854621887207,1467811594,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",POS,0.9643954038619995,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?@wei_ren yeah...saw u responded to the call. Hope to see you soon ",POS,0.9120861887931824,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?@wei_ren yeah...saw u responded to the call. Hope to see you soon wants to hear @seblefebvre 's song but myspace is messing with me "
8,m,0.6601919531822205,1467811795,@Tatiana_K nope they didn't have it ,POS,0.6181550025939941,@Tatiana_K nope they didn't have it @iamtrefusis Most Welcome ,NEG,0.5936821103096008,@Tatiana_K nope they didn't have it @iamtrefusis Most Welcome @DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me 
9,m,0.9582290053367615,1467812025,@twittera que me muera ? ,POS,0.8729875683784485,@twittera que me muera ? @newmoonmovie HAHAH! Serves them right for being in her face! I bet Ashley got a good laugh outta that one ,NEU,0.622122585773468,@twittera que me muera ? @newmoonmovie HAHAH! Serves them right for being in her face! I bet Ashley got a good laugh outta that one Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
