,original_label,score_x,twitter_id,Comments_x,MR1_label,score_y,Comments_y,MR2_label,score,Comments
0,n,0.9889905452728271,1467810369,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",LABEL_2,0.9862891435623169,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;DTHE PPL @ T-MOBiLE ARE ALWAYS SO NiCE &amp;&amp; THEY ALWAYS FiX ANY PROBLEMS PROMPTLY. ",LABEL_2,0.962791383266449,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;DTHE PPL @ T-MOBiLE ARE ALWAYS SO NiCE &amp;&amp; THEY ALWAYS FiX ANY PROBLEMS PROMPTLY. @angry_barista I baked you a cake but I ated it "
1,n,0.9957559704780579,1467810672,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,LABEL_0,0.9254960417747498,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!This trolley has up packed in like sardines! Padre game and they REMOVE a car?! Good call MTS ,LABEL_0,0.9842464923858643,"is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!This trolley has up packed in like sardines! Padre game and they REMOVE a car?! Good call MTS @KishoreK this is strange, illegal torrents avlbl everywhere, legal DVD not in stock  What do I do now???"
2,m,0.7132061719894409,1467810917,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,LABEL_2,0.9866460561752319,"@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds@kelly_straycat  btw, THANK YOU SOOOO MUCH FOR  THAT PLUG FROM BEFORE!!!! i was wondering where the twitter requests was coming from ",LABEL_2,0.8767909407615662,"@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds@kelly_straycat  btw, THANK YOU SOOOO MUCH FOR  THAT PLUG FROM BEFORE!!!! i was wondering where the twitter requests was coming from would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?"
3,n,0.9504910111427307,1467811184,my whole body feels itchy and like its on fire ,LABEL_2,0.859717607498169,"my whole body feels itchy and like its on fire @tabithakristen no problem, it was super late  I could still use your opinion though...will DM",LABEL_0,0.9889219999313354,"my whole body feels itchy and like its on fire @tabithakristen no problem, it was super late  I could still use your opinion though...will DMis upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!"
4,n,0.9929641485214233,1467811193,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",LABEL_1,0.601313591003418,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. @senoritajulia Well then we should go sometime! Yay for lunch specials! ",LABEL_0,0.9919414520263672,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. @senoritajulia Well then we should go sometime! Yay for lunch specials! is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!"
5,n,0.9532774686813354,1467811372,@Kwesidei not the whole crew ,LABEL_2,0.9635375738143921,@Kwesidei not the whole crew or several books with partial of Bella and Edwards perspective could be REALLY cool  Just like with Jacob in Breaking Dawn  ,LABEL_0,0.8268604278564453,@Kwesidei not the whole crew or several books with partial of Bella and Edwards perspective could be REALLY cool  Just like with Jacob in Breaking Dawn  I don't understand why things get taken away. I didn't have enough time with him its unfair. I want him back!! He was like my baby 
6,m,0.9681565761566162,1467811592,Need a hug ,LABEL_2,0.9940462112426758,"Need a hug had pure banter today, which was very much needed  Good Times! x Muwah Laura aha",LABEL_1,0.8478773832321167,"Need a hug had pure banter today, which was very much needed  Good Times! x Muwah Laura aha@Sofii_Noel thatÃ¯Â¿Â½s bad "
7,p,0.874988853931427,1467811594,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",LABEL_2,0.9805331230163574,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?@jessgonacha Congrats! Well deserved ",LABEL_1,0.9797489047050476,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?@jessgonacha Congrats! Well deserved @imaginarypeach now your leaving me  .... -gets sad-"
8,m,0.9971201419830322,1467811795,@Tatiana_K nope they didn't have it ,LABEL_2,0.9951605200767517,"@Tatiana_K nope they didn't have it &quot;butterly in the sky - i can go twice as high, take a look it's in a book.. reading rainbow&quot;!!!! reading rainbowwww! loved that show  ",LABEL_1,0.9446266889572144,"@Tatiana_K nope they didn't have it &quot;butterly in the sky - i can go twice as high, take a look it's in a book.. reading rainbow&quot;!!!! reading rainbowwww! loved that show  I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy"
9,m,0.9967780709266663,1467812025,@twittera que me muera ? ,LABEL_2,0.9950560331344604,@twittera que me muera ? sonny with a chance is so funny! ,LABEL_1,0.9677300453186035,@twittera que me muera ? sonny with a chance is so funny! Poor Joshy is sick???   those damn tejanos!
10,m,0.9973969459533691,1467812416,spring break in plain city... it's snowing ,LABEL_2,0.9938679337501526,spring break in plain city... it's snowing @k_love032705 I believe it's a way to send a shout out to your friendly followers. Seems to get you more followers somehow. And it's fun ,LABEL_2,0.9647456407546997,spring break in plain city... it's snowing @k_love032705 I believe it's a way to send a shout out to your friendly followers. Seems to get you more followers somehow. And it's fun trust is hard 
11,n,0.9944794178009033,1467812579,I just re-pierced my ears ,LABEL_2,0.9787980914115906,I just re-pierced my ears @okizarisu Just found out. Congratulations! ,LABEL_0,0.9922182559967041,"I just re-pierced my ears @okizarisu Just found out. Congratulations! Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!"
12,n,0.9424850344657898,1467812723,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,LABEL_1,0.9084716439247131,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .Enjoying the rain ,LABEL_1,0.8829195499420166,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .Enjoying the rain ..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... 
