,original_label,score_x,twitter_id,Comments_x,MR1_label,score_y,Comments_y,MR2_label,score,Comments
0,n,0.30982711911201477,1467810369,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",5 stars,0.27736711502075195,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D@YoungQ good morning!!  I'm in VA Beach - gonna be a fab day!!  Bring it!!  ",1 star,0.5072245001792908,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D@YoungQ good morning!!  I'm in VA Beach - gonna be a fab day!!  Bring it!!  @bananaface IM SORRY I GOT YOU SICK.  lol. going to bed too. NIGHT!"
1,n,0.641974925994873,1467810672,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,1 star,0.5422606468200684,"is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!@pauloCanning  Well, they claim to have finished ",1 star,0.5984517335891724,"is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!@pauloCanning  Well, they claim to have finished @JeffersonForest At the grand when you say starting from 300,000 is that for towns, semis or detached? Last Question I promise "
2,n,0.5959274768829346,1467810917,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,1 star,0.605334460735321,"@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of boundsHappy Weekend!!!!!!!   4 more hours of work, then time to relax!",1 star,0.6139932870864868,"@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of boundsHappy Weekend!!!!!!!   4 more hours of work, then time to relax!@huntermoore I don't want him to ever punch me.  "
3,n,0.40750548243522644,1467811184,my whole body feels itchy and like its on fire ,1 star,0.5272359251976013,my whole body feels itchy and like its on fire e testando o twittermail.. ,1 star,0.4727351665496826,my whole body feels itchy and like its on fire e testando o twittermail.. @chelsea_playboy I'm coming to Sydney in October...we'll have to go dancing 
4,n,0.8472735285758972,1467811193,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",1 star,0.86943519115448,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. @WestEndActress lol ",1 star,0.8781182169914246,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. @WestEndActress lol @matthewpetro did you get that donut yet? "
5,n,0.4457147419452667,1467811372,@Kwesidei not the whole crew ,1 star,0.3190430998802185,@Kwesidei not the whole crew Morning  thank God its friday... Hope everyone has a &quot;GREAT&quot; day...,1 star,0.5062873363494873,@Kwesidei not the whole crew Morning  thank God its friday... Hope everyone has a &quot;GREAT&quot; day...@kpreyes Remember my bum leg? Strikes back this time its serious 
6,p,0.2598239779472351,1467811592,Need a hug ,5 stars,0.5180841088294983,Need a hug Thank you for the #FF and paranormal Tweets @paranormalcolo @paranormalspy Much unearthly love ,1 star,0.3811456263065338,Need a hug Thank you for the #FF and paranormal Tweets @paranormalcolo @paranormalspy Much unearthly love blagh class at 8 tomorrow 
7,p,0.3559916317462921,1467811594,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",3 stars,0.3046714961528778,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?Wondering what shenanigans my daughter and I will get in to today.. lol ",3 stars,0.28598329424858093,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?Wondering what shenanigans my daughter and I will get in to today.. lol DONE with Algebra exam! Off to babysit! "
8,n,0.5041123628616333,1467811795,@Tatiana_K nope they didn't have it ,1 star,0.30407559871673584,"@Tatiana_K nope they didn't have it #followfriday If I follow them, they're worth your attention.  Thanks @prjctmayhem and @ElyssaD. Keep the #fuckfascism movement going!",1 star,0.349486768245697,"@Tatiana_K nope they didn't have it #followfriday If I follow them, they're worth your attention.  Thanks @prjctmayhem and @ElyssaD. Keep the #fuckfascism movement going! wonder if Jon lost the net"
9,n,0.5159330368041992,1467812025,@twittera que me muera ? ,3 stars,0.3014872968196869,@twittera que me muera ? @Laurenkatee hope everything is ok for you and things get better ,1 star,0.375332236289978,@twittera que me muera ? @Laurenkatee hope everything is ok for you and things get better RIP Sandra....its so sad    how can someone do something like that??
