,original_label,score_x,twitter_id,Comments_x,MR1_label,score_y,Comments_y,MR2_label,score,Comments
0,n,0.7457512021064758,1467810369,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Negative,0.5621550679206848,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D@geeneeyes the good part is .... it only gets better ",Negative,0.5695891976356506,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D@geeneeyes the good part is .... it only gets better @griffmiester no exchanging for me, my laptop hasn't arrived "
1,n,0.90052330493927,1467810672,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,Negative,0.8779624104499817,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!@TKWatson1 I aim to please ,Negative,0.888055145740509,"is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!@TKWatson1 I aim to please @otakusecret my reaction too  whoa, didn't see that coming"
2,m,0.6559895873069763,1467810917,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,Positive,0.6895576119422913,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds@xTwilighter Going out for dinner - will phone ya when I get bk about 2moro!  Have got everything sorted!,Positive,0.6808000802993774,"@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds@xTwilighter Going out for dinner - will phone ya when I get bk about 2moro!  Have got everything sorted!@Appomattox_News Thank you! However, I hate to be on the same list that includes 2 convicts.  "
3,n,0.8976330757141113,1467811184,my whole body feels itchy and like its on fire ,Positive,0.9436324834823608,my whole body feels itchy and like its on fire @ToniCrosby yeah i am i am soo excited  Xx,Positive,0.9342937469482422,my whole body feels itchy and like its on fire @ToniCrosby yeah i am i am soo excited  Xx@B_Barnett I did not really see that coming 
4,n,0.931198000907898,1467811193,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",Negative,0.7125401496887207,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. thank you friday for being here week after week to kickstart my weekend.  what would i do without u?  TGIF tweeples!!  ",Negative,0.7564224600791931,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. thank you friday for being here week after week to kickstart my weekend.  what would i do without u?  TGIF tweeples!!  @bananaface IM SORRY I GOT YOU SICK.  lol. going to bed too. NIGHT!"
5,m,0.605324387550354,1467811372,@Kwesidei not the whole crew ,Positive,0.4386017620563507,@Kwesidei not the whole crew Ahhh its raining...thank god I brought my big army jacket.  and all these retards in my class are wearing shirts and short. HAHA.,Negative,0.38539236783981323,@Kwesidei not the whole crew Ahhh its raining...thank god I brought my big army jacket.  and all these retards in my class are wearing shirts and short. HAHA.trust is hard 
6,m,0.6586577296257019,1467811592,Need a hug ,Positive,0.970066487789154,"Need a hug @slunicko Wow, awesome find. Now to play around with this ",Positive,0.454650342464447,"Need a hug @slunicko Wow, awesome find. Now to play around with this @naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history"
7,p,0.922187864780426,1467811594,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",Positive,0.9527947306632996,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?Enjoying the rain ",Positive,0.8976170420646667,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?Enjoying the rain gotta do my cooking assignment  its too hard"
8,m,0.5189142227172852,1467811795,@Tatiana_K nope they didn't have it ,Negative,0.645635724067688,@Tatiana_K nope they didn't have it Got our yearbooks! ,Negative,0.6823092103004456,@Tatiana_K nope they didn't have it Got our yearbooks! This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done 
9,m,0.8834700584411621,1467812025,@twittera que me muera ? ,Positive,0.9081839323043823,@twittera que me muera ? @robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,Positive,0.6315579414367676,@twittera que me muera ? @robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful peoplegetting annoyed easily today  &gt;&gt;&gt; biofuel proposal: getting annoyed easily today  &gt;&gt;&gt; biof.. http://tinyurl.com/ceprvs
10,m,0.665429949760437,1467812416,spring break in plain city... it's snowing ,Positive,0.8704895377159119,"spring break in plain city... it's snowing @McFly_Quebec Don't worry, we'll talking tonight  Wizz when you'll be back . xX",Negative,0.41929441690444946,"spring break in plain city... it's snowing @McFly_Quebec Don't worry, we'll talking tonight  Wizz when you'll be back . xXI'm so upset that I missed my chat and quiz online because my free internet has ceased "
11,m,0.7556747794151306,1467812579,I just re-pierced my ears ,Positive,0.677212655544281,"I just re-pierced my ears @jennifermf I know!  I'm a night owl by nature, hahaha Am I a time zone behind you? It's almost 1 here",Neutral,0.44989821314811707,"I just re-pierced my ears @jennifermf I know!  I'm a night owl by nature, hahaha Am I a time zone behind you? It's almost 1 here@Marge_Inovera I tried tweetdeck once and I hated it with a passion. Or it hated me, I'm not sure... "
12,n,0.942754328250885,1467812723,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,Positive,0.4771655201911926,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .getting called a FF fox...a sign of bright and shiny things to come today?  Sweet!  Thanks @bobwarren for the #FF mention  ,Negative,0.4666421711444855,"@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .getting called a FF fox...a sign of bright and shiny things to come today?  Sweet!  Thanks @bobwarren for the #FF mention  @nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
13,n,0.8457124829292297,1467812771,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",Negative,0.6950587034225464,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore goodnight guys haha.my last tweet for this day ",Negative,0.5407483577728271,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore goodnight guys haha.my last tweet for this day This trolley has up packed in like sardines! Padre game and they REMOVE a car?! Good call MTS "
14,n,0.7839011549949646,1467812784,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",Neutral,0.48414668440818787,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.Welcome to Day 2 of fast forward though Claudia's story. Unsubscribe if you're getting bored. I swear it's pretty interesting on my end. ",Neutral,0.45142900943756104,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.Welcome to Day 2 of fast forward though Claudia's story. Unsubscribe if you're getting bored. I swear it's pretty interesting on my end. @huntermoore I don't want him to ever punch me.  "
15,p,0.847045361995697,1467812799,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,Positive,0.9076772332191467,"@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!",Positive,0.8686894178390503,"@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me "
16,n,0.9138283729553223,1467812964,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,Negative,0.8613086342811584,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?@sugarrae Wish you were speaking at my legal get together! ,Negative,0.915381669998169,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?@sugarrae Wish you were speaking at my legal get together! im sad now  Miss.Lilly
17,m,0.8759665489196777,1467813137,about to file taxes ,Positive,0.7906864285469055,about to file taxes @wei_ren yeah...saw u responded to the call. Hope to see you soon ,Neutral,0.43767112493515015,about to file taxes @wei_ren yeah...saw u responded to the call. Hope to see you soon missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;
18,p,0.986928403377533,1467813579,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,Positive,0.9894423484802246,"@LettyA ahh ive always wanted to see rent  love the soundtrack!!Happy Weekend!!!!!!!   4 more hours of work, then time to relax!",Positive,0.9544664621353149,"@LettyA ahh ive always wanted to see rent  love the soundtrack!!Happy Weekend!!!!!!!   4 more hours of work, then time to relax!Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?"
19,n,0.612221360206604,1467813782,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,Positive,0.5353303551673889,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? @SPGInsider welcome! starwood (particularly w and aloft) is my hotel brand of choice. ,Negative,0.5461034774780273,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? @SPGInsider welcome! starwood (particularly w and aloft) is my hotel brand of choice. @JonathanRKnight I guess that's a no then. 
20,n,0.6634179949760437,1467813985,@alydesigns i was out most of the day so didn't get much done ,Positive,0.4873029291629791,@alydesigns i was out most of the day so didn't get much done yessss @Jonasbrothers have done a video for Fly With Me ,Negative,0.7925959229469299,@alydesigns i was out most of the day so didn't get much done yessss @Jonasbrothers have done a video for Fly With Me Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML
